"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "537395127522566144" "@google v. @Oracle #java fight going to @USSupremeCourt http://t.co/GYW9wkwMxE Huge stakes for software industry. Thx @dbmoore" "johnrrymer" FALSE FALSE 1416959957
"2" "537395087601192960" "Dear @Google: We're Google employees and users standing together for Title II net neutrality, will you stand with us? http://t.co/DsoUo4H6KD" "SyzygySyzygysue" FALSE FALSE 1416959947
"3" "537395081318129665" "#News Supreme Court to review EPA power plant rule - The Courier-Journal http://t.co/aojimzjfJY Vía @Google" "ObiWanKenobl" FALSE FALSE 1416959946
"4" "537395079741050880" "#News Granada priests arrested after alleged victim talks to Pope - New York Daily News http://t.co/e6VGeF5iiE Vía @Google" "ObiWanKenobl" FALSE FALSE 1416959945
"5" "537395060384751616" "RT @google: Today in unsurprising pie-related news: Pumpkin pie rules the search trends this time of year http://t.co/BbX9g4uVXo http://t.c…" "athersharif" TRUE FALSE 1416959941
"6" "537394979979534336" "#News Richard Sherman, Doug Baldwin share thoughts on NFL - http://t.co/X76BMkOnev http://t.co/GI71MgTQH3 Vía @Google" "ObiWanKenobl" FALSE FALSE 1416959922
"7" "537394979262312449" "#News Ferguson Grand Jury Faced Mass of Evidence, Much of It Conflicting - New York Times http://t.co/emWOZCF7xI Vía @Google" "ObiWanKenobl" FALSE FALSE 1416959922
"8" "537394978436050944" "#News Pope, in France, Urges Europe to Open Its Arms to Refugees - New York Times http://t.co/8bQzrEq2Fy Vía @Google" "ObiWanKenobl" FALSE FALSE 1416959921
"9" "537394977794322432" "#News HP earnings show continued struggle - Charlotte Observer http://t.co/RBSIV85zrG Vía @Google" "ObiWanKenobl" FALSE FALSE 1416959921
"10" "537394977043542016" "#News FDA: Calorie count coming to restaurant menus - News 12 Long Island http://t.co/umL8lLnfmk Vía @Google" "ObiWanKenobl" FALSE FALSE 1416959921
"11" "537394836949581825" "RT @ayeshakhalidmd: @TEDxBeaconSt @BruceHecht @google for an amazing Solve for X adventure!! Go Pratik Shah!! http://t.co/Z2wHZGgMdw" "BruceHecht" TRUE FALSE 1416959888
"12" "537394825642139648" "Good use of @google maps find a safe place in Ferguson http://t.co/oXMRZylllq @hotdogsladies @leolaporte @AC360 @codinghorror @Pete_Brown" "unkwntech" FALSE FALSE 1416959885
"13" "537394574314848256" "RT @guidespark: What does @guidespark have in common with @facebook @twitter @google? http://t.co/61yecp5qTE via @MarketWatch #rhg100 #HRTe…" "bob_benedict" TRUE FALSE 1416959825
"14" "537394517070987264" "RT @ariesenfeld: @guidespark joins @facebook, @twitter,@google and @salesforce in the 2014 @digitalherring Top100 Global list | http://t.co…" "bob_benedict" TRUE FALSE 1416959811
"15" "537394057790500865" "You won’t pay for online content, but will you pay to block ads? See what @google is coming up with next: http://t.co/KBc2B9H4ee via @Adweek" "the87AM" FALSE FALSE 1416959702
"16" "537393941541560320" "Yo! @google stop screwing around with AOSP... Plz" "ikegilbert" FALSE FALSE 1416959674
"17" "537393736519790595" "RT @RyersonDMZ: Would you pay for ad-free internet? That's what @google is trying to find out. http://t.co/R8YJYjdf0H" "xdebane" TRUE FALSE 1416959625
"18" "537393624518901760" "@Google to #Apps users: Take time to protect your accounts http://t.co/CoihLBKn1V" "BillSchick" FALSE FALSE 1416959599
"19" "537393398219804674" "@kevaldesai thx for the follow! what's been the better experience so far? investing in startups or PM work at @Google?" "stephrhee" FALSE FALSE 1416959545
"20" "537392412193091585" "Dear @Google: We're Google employees and users standing together for Title II net neutrality, will you stand with us? http://t.co/GneNaalUf1" "NobleThoughts0" FALSE FALSE 1416959309
"21" "537392321550368768" "RT @UnkLE_rIkOe: @UnkLE_rIkOe @TeniMuse @JoyCollinsMusic @Kat1sss @KavalonThatsMe @WoodallLamar @appleios @samsung @twitter @google @verifi…" "RomyMarylouAmbr" TRUE FALSE 1416959288
"22" "537392098220462080" "RT @Liberationtech: Liberate your online identity from @Google &amp; @Facebook with @IndieHosters http://t.co/tOgpYFrgOc by @klintron http://t.…" "GordoMcK72" TRUE FALSE 1416959235
"23" "537391783756713985" "Really, @googledevs the new Android OS is messing up my Nexus 4. Take a couple pictures and it all goes to hell Cc @google #NotCool" "Orteg" FALSE FALSE 1416959160
"24" "537391575173955584" "RT @GPeacock_NI: Looking forward to tomorrow evening's @Google Juice Bar @UlsterBizSchool , hosted by Dept of Finance &amp; Personnel in partne…" "FSB_NI" TRUE FALSE 1416959110
"25" "537391521142931456" "RT @imAbreneman: Hey @google if you could hurry up with those self driving cars, that'd be great, I could really use one for the drive back…" "Casadova_1868" TRUE FALSE 1416959097
"26" "537391504910585856" "Good work, @google. Another GREAT update. (@besweeet) http://t.co/9hQNyvB5bj" "BlogMixer" FALSE FALSE 1416959093
"27" "537391359515054080" "Google's HUGE billboard in Times Square: http://t.co/yzthMiWZ8u via @YouTube @google" "fadysalem" FALSE FALSE 1416959059
"28" "537391357586063361" "RT @google: Today in unsurprising pie-related news: Pumpkin pie rules the search trends this time of year http://t.co/BbX9g4uVXo http://t.c…" "kevin_m_powers" TRUE FALSE 1416959058
"29" "537391018694299648" "@UnkLE_rIkOe @TeniMuse @JoyCollinsMusic @Kat1sss @KavalonThatsMe @WoodallLamar @appleios @samsung @twitter @google @verified sup folks!?" "UnkLE_rIkOe" FALSE FALSE 1416958977
"30" "537390951484776448" "@google 2-3x a day someone identifying themselves as Google is calling my cell to sell ads. I've tried to get my number removed. Can u help?" "ScottluvsCards" FALSE FALSE 1416958961
"31" "537390583719809025" "Thanksgiving recipes unique to each state via search data from @google. Fun story in @nytimes: http://t.co/obCuYm4okC http://t.co/1gKm73LOyG" "mattm" FALSE FALSE 1416958874
"32" "537390329658626049" "Would you pay for ad-free internet? That's what @google is trying to find out. http://t.co/R8YJYjdf0H" "RyersonDMZ" FALSE FALSE 1416958813
"33" "537390307982073856" ". @dvdkliu looking for an @salesforce dev to work with him @google - how cool would that be! http://t.co/MpQRtCk5kb" "andrewpriceau" FALSE FALSE 1416958808
"34" "537390267087998976" "Looking forward to tomorrow evening's @Google Juice Bar @UlsterBizSchool , hosted by Dept of Finance &amp; Personnel in partnership with @FSB_NI" "GPeacock_NI" FALSE FALSE 1416958798
"35" "537390098694676480" "RT @google: Driving tomorrow? Leave before 2pm, after 7pm to skip the worst traffic, says @GoogleMaps data http://t.co/dG70TWyutS http://t.…" "sarahcrowley4" TRUE FALSE 1416958758
"36" "537389928020054016" "@sgovv @google are you a shareholder?  That's why it may have sent you mail" "Political_jacob" FALSE FALSE 1416958717
"37" "537389909800402944" "Inventor of pb pretzels, @google, waxing=GENIUS I have many others that deserve kudos but those stand out at this moment." "tracie_long" FALSE FALSE 1416958713
"38" "537389596993388544" "yo @google @googlenexus why do my apps keep crashing ever since this Lollipop update? its really frustrating!" "BIELAbiela" FALSE FALSE 1416958638
"39" "537389122001063937" "@IEEEorg @google @Microsoft push for more foreign tech workers citing a shortage. Or is it a push for cheaper talent? http://t.co/xjk4K9ATWy" "steveflowers" FALSE FALSE 1416958525
"40" "537389111745982465" "RT @google: Today in unsurprising pie-related news: Pumpkin pie rules the search trends this time of year http://t.co/BbX9g4uVXo http://t.c…" "troy_reynolds" TRUE FALSE 1416958523
"41" "537389035891982336" "' @google what the sweet bejesus have you DONE to my phone. Upgrade furniture or something next time... #Nexus4 #thehorror #wannabeapple" "BPizap" FALSE FALSE 1416958505
"42" "537388516317990912" "RT @google: Today in unsurprising pie-related news: Pumpkin pie rules the search trends this time of year http://t.co/BbX9g4uVXo http://t.c…" "scovie" TRUE FALSE 1416958381
"43" "537387882336772097" "Before 2pm!! RT @google: Driving tomorrow? Leave before 2pm, after 7pm to skip the worst traffic, says @GoogleMaps data" "cypou" FALSE FALSE 1416958229
"44" "537387816742043648" "@google the lollipop update ruined my grouper's charging speed. 17h just to charge 30% :(" "chepe263" FALSE FALSE 1416958214
"45" "537387806885437440" "RT @google: A spoon that steadies shaking hands is making mealtime easier for people with Parkinson’s http://t.co/M6I5TEQdPy http://t.co/jE…" "shannonhayes10" TRUE FALSE 1416958212
"46" "537387745245929472" "@googlenexus @Android @google Note to myself, never ever spend more money for Nexus tablets with a mobile module. No OTA on time! #fail" "navahoo" FALSE FALSE 1416958197
"47" "537387701323190272" "Thanks, @google Now, for the timely news that a poet and fellow @Vassar alumna died. In 1950. http://t.co/S1zCNKIC72" "LovelyChampion" FALSE FALSE 1416958186
"48" "537387624776753152" "RT @drmfreeman: At @google to give a presentation about user experience, errors and recovery with my PhD student Fayez @uoweis #UX http://t…" "drhollyt" TRUE FALSE 1416958168
"49" "537387160157306880" "RT @google: A spoon that steadies shaking hands is making mealtime easier for people with Parkinson’s http://t.co/M6I5TEQdPy http://t.co/jE…" "Dilpeee" TRUE FALSE 1416958057
"50" "537387091366117377" "Gmail alert — @Google is probably stealing my personal information. http://t.co/hvC3ArVF5U" "rossdakin" FALSE FALSE 1416958041
"51" "537386968250724352" "Dear @Google: We're Google employees and users standing together for Title II net neutrality, will you stand with us? http://t.co/6WOqLR6m72" "westybsa" FALSE FALSE 1416958012
"52" "537386907362029569" "#News What If? Convicting Darren Wilson Would Have Been Difficult - http://t.co/PHqzqo7MWa http://t.co/95246L1qeo Vía @Google" "ObiWanKenobl" FALSE FALSE 1416957997
"53" "537386906581868546" "#News NY / Region|Governor Cuomo's Response to Buffalo-Area Snow: Praised, With ... - New York Times http://t.co/YvaZ0DbXyR Vía @Google" "ObiWanKenobl" FALSE FALSE 1416957997
"54" "537386905801728001" "#News 'Horrible Bosses 2,' movie review - New York Daily News http://t.co/2LL7SOBMMl Vía @Google" "ObiWanKenobl" FALSE FALSE 1416957997
"55" "537386901192585217" "Checking things out @Google #catalystqld http://t.co/ZQXNSfqLeL http://t.co/Lzoo3ckfkT" "benjaminwilks" FALSE FALSE 1416957996
"56" "537386899170525184" "@googlenexus @google @Android Why is the OTA for 3G/LTE Nexus tablets always delayed? Is there a plausible explanation or u just don't care?" "navahoo" FALSE FALSE 1416957995
"57" "537386806942367745" "Yes. @google - Thanks for this &amp; the many others hilarious experiences I've had with your browser over the last couple of years. Really. Ty." "Jherara" FALSE FALSE 1416957973
"58" "537386729536512000" "World population: 

1 China
2 @Facebook
3 India
4 Tencent
5 @WhatsApp
6 United States
7 @Google +
8 @LinkedIn
9 @Twitter 
10 Indonesia" "amirwaheed" FALSE FALSE 1416957955
"59" "537386539815563264" "#AndroidLollipop killed my #Nexus 4. Way to go @Google ... this is professional software engineering. #segfault on boot up." "SpiffyBot" FALSE FALSE 1416957909
"60" "537386444760027137" "Dear @google: Do you want to hear something funny? Hmm? ... I have to use Mozilla's Firefox instead of Chrome to watch YouTube videos." "Jherara" FALSE FALSE 1416957887
"61" "537386073509597185" "RT @google: Driving tomorrow? Leave before 2pm, after 7pm to skip the worst traffic, says @GoogleMaps data http://t.co/dG70TWyutS http://t.…" "thetatijorge" TRUE FALSE 1416957798
"62" "537385332098863105" "You can now edit @Microsoft Office documents from within @Dropbox. Watch out @Google docs! http://t.co/OYWDp7GmmQ via @mashable" "windRider666" FALSE FALSE 1416957621
"63" "537385051085086720" "I've been on hold with @google for an hour and 45 minutes " "JULIANAwatsonnn" FALSE FALSE 1416957554
"64" "537384841285599232" "RT @google: A spoon that steadies shaking hands is making mealtime easier for people with Parkinson’s http://t.co/M6I5TEQdPy http://t.co/jE…" "taramehdipour" TRUE FALSE 1416957504
"65" "537384818795749376" "@NOH8Campaign @LGBT_Activist WTF wow Hate @google now" "SlushyJoe" FALSE FALSE 1416957499
"66" "537384743340228612" "Start-up @liftlabsdesign who invented a cutting edge spoon for PwP acquired by @google #Parkinsons - http://t.co/nurInTFeO0" "ParkinsonsNSW" FALSE FALSE 1416957481
"67" "537384345485737985" "#Hobonichi Techo fans (or new users) -- check out the new @Google+ open community (it's in English): http://t.co/J98rIcl3l8" "Kelly_Lynch" FALSE FALSE 1416957386
"68" "537384063108005890" "H/T, @google: A spoon that steadies shaking hands is making mealtime easier for people with Parkinson’s http://t.co/JS2WgkY91J" "royasol" FALSE FALSE 1416957319
"69" "537383970158030848" "RT @google: Driving tomorrow? Leave before 2pm, after 7pm to skip the worst traffic, says @GoogleMaps data http://t.co/dG70TWyutS http://t.…" "royasol" TRUE FALSE 1416957297
"70" "537383950058921987" "RT @google: Today in unsurprising pie-related news: Pumpkin pie rules the search trends this time of year http://t.co/BbX9g4uVXo http://t.c…" "royasol" TRUE FALSE 1416957292
"71" "537383866667773952" "RT @google: A spoon that steadies shaking hands is making mealtime easier for people with Parkinson’s http://t.co/M6I5TEQdPy http://t.co/jE…" "wiebelswobble" TRUE FALSE 1416957272
"72" "537383753367445505" "@google has been identified as a competitor of @spreecast. Learn more: http://t.co/1a2C0G31G2" "BubOrangeOwl" FALSE FALSE 1416957245
"73" "537383611629334530" "RT @numaparis: Watch \"Google Launchpad : Bonjour to the Paris startup ecosystem\" about the Launchpad Paris from @google &amp; @numaparis http:/…" "Pierre_Benayoun" TRUE FALSE 1416957211
"74" "537383490245783552" "@google follow his Ten Commandments and mine." "slokumal" FALSE FALSE 1416957182
"75" "537383375137288193" "@google better go to church all of that work at Google as God punishes all." "slokumal" FALSE FALSE 1416957155
"76" "537383228584108032" "@google I don't care what happens to your board members - I want them to suffer" "slokumal" FALSE FALSE 1416957120
"77" "537383130756157442" "@google and so does heaven , he'll and purgatory" "slokumal" FALSE FALSE 1416957097
"78" "537383060765827072" "@google and remember corporal punishment exists - from God" "slokumal" FALSE FALSE 1416957080
"79" "537382954709041153" "Google, thanks very much for the genius work. God bless you more. Please kindly ff back,I have a new blood Idea I want to share. @google" "johnwalex" FALSE FALSE 1416957055
"80" "537382786290954240" "RT @newsontuiter: Dear @google we would appreciate clarification on how this link violates your terms of service: http://t.co/Gof3pr0daJ Se…" "txemicortxea" TRUE FALSE 1416957014
"81" "537382739788304384" "RT @google: A spoon that steadies shaking hands is making mealtime easier for people with Parkinson’s http://t.co/M6I5TEQdPy http://t.co/jE…" "13samban" TRUE FALSE 1416957003
"82" "537382692522688512" "@google better do as I ask . Remember my words - they are from God - speaking with a different voice right now. Deeper" "slokumal" FALSE FALSE 1416956992
"83" "537382650936184832" "RT @google: A spoon that steadies shaking hands is making mealtime easier for people with Parkinson’s http://t.co/M6I5TEQdPy http://t.co/jE…" "alxezl" TRUE FALSE 1416956982
"84" "537382490810617856" "Why I Left My Job At #Google - Business Insider http://t.co/THPLBEC5y7 Would you leave your job at @google ?" "ZeeKahApp" FALSE FALSE 1416956944
"85" "537382350733455360" "WTF?!? @Google's lobbyist is keeping it silent in the fight to save the internet. What is their motive?" "ludek_chattey" FALSE FALSE 1416956911
"86" "537382273323380737" "If you're near New York City, go to Times Square to create and interact with @google's massive #Android #billboard http://t.co/mcEop9jWaD" "devPorto" FALSE FALSE 1416956892
"87" "537382120248078336" "@google Hope you have same as @IBM re to their employee \"social computing guidelines\". Chat @ http://t.co/doQD4kF0hh #LegalIssue #Documented" "HeiressMommy" FALSE FALSE 1416956856
"88" "537381994129547264" "@google @googlenexus Lollipop has rendered my Nexus 7 almost unusable with constant crashes -  when will we see a fix?" "GhostofDJRoomba" FALSE FALSE 1416956826
